study_ind,arm_ind,abstract_id,compound,treat,n,y,se,base,weeks,Phase,study,source,comments
11,13,1230-OR,Semaglutide,"Semaglutide alone (participants
  without low lean mass at
  baseline)",,-5.9,,,26,"Phase
  2",COURAGE,abstract,"Percent change in lean mass
   from baseline to Week 26; reported as comparator for non-LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,14,1230-OR,Semaglutide,"Semaglutide +
  trevogrumab 200 mg (participants without low lean mass at
  baseline)",,-3.8,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean
  mass loss vs semaglutide alone in non-LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,15,1230-OR,Semaglutide,"Semaglutide + trevogrumab 400 mg
  (participants without low lean mass at
  baseline)",,-4,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean mass
  loss vs semaglutide alone in non-LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
11,16,1230-OR,Semaglutide,"Semaglutide + trevogrumab 400 mg +
  garetosmab 10 mg/kg (triplet) (participants without low lean mass at
  baseline)",,-1.8,,,26,"Phase
  2",COURAGE,abstract,"Significantly less lean
  mass loss vs semaglutide alone in non-LLM subgroup.; Percent change in lean mass (LM) by DXA from baseline to Week
  26; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1230-OR/167148/1230-OR-Lean-Mass-Effects-of-Anti-GDF8-Trevogrumab"
12,1,1032-OR,,"Aleniglipron 45 mg
  arm",,-8.2,,,36,"Phase
  2b",ACCESS trial,abstract,"Placebo-adjusted LS mean
  percentage change in body weight from baseline at week 36; p<0.0001 vs
  placebo.; Percentage change in body weight from baseline
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1032-OR/167934/1032-OR-ACCESS-Trial-Dose-Ranging-Evaluation-of"
12,2,1032-OR,,"Aleniglipron 90 mg
  arm",,-9.8,,,36,"Phase
  2b",ACCESS trial,abstract,"Placebo-adjusted LS mean
  percentage change in body weight from baseline at week 36; p<0.0001 vs
  placebo.; Percentage change in body weight from baseline
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1032-OR/167934/1032-OR-ACCESS-Trial-Dose-Ranging-Evaluation-of"
12,3,1032-OR,,"Aleniglipron 120 mg
  arm",,-11.3,,,36,"Phase
  2b",ACCESS trial,abstract,"Placebo-adjusted LS mean
  percentage change in body weight from baseline at week 36; p<0.0001 vs placebo. Also reported in
  this arm: >=5% weight loss in 86%, >=10% in 70%, >=15% in 38%; placebo-adjusted HbA1c change
  -0.37% and systolic BP change -7.5 mmHg.; Percentage change in body weight from baseline
  (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1032-OR/167934/1032-OR-ACCESS-Trial-Dose-Ranging-Evaluation-of"
13,1,1034-OR,HDM1005,"HDM1005 0.5 mg once weekly
  (subcutaneous)",,-7.38,,,22,Phase 2,NCT06886126,abstract,"Body weight reduction
   from baseline at W22; treatment-policy estimand; vs placebo, all p<0.0001. >=10% weight loss
  achieved in 24.0%.; Percentage change in body
  weight from baseline to week 22; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1034-OR/167745/1034-OR-Efficacy-and-Safety-of-Dual-GLP-1-GIP"
13,2,1034-OR,HDM1005,"HDM1005 1.0 mg once weekly
  (subcutaneous)",,-9.61,,,22,Phase 2,NCT06886126,abstract,"Body weight reduction
   from baseline at W22; treatment-policy estimand; vs placebo, all p<0.0001. >=10% weight loss
  achieved in 52.1%.; Percentage change in body
  weight from baseline to week 22; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1034-OR/167745/1034-OR-Efficacy-and-Safety-of-Dual-GLP-1-GIP"
13,3,1034-OR,HDM1005,"HDM1005 2.0 mg once weekly
  (subcutaneous)",,-13.21,,,22,Phase 2,NCT06886126,abstract,"Body weight
  reduction from baseline at W22; treatment-policy estimand; vs placebo, all p<0.0001. >=10% weight
  loss achieved in 75.0%.; Percentage change in body
  weight from baseline to week 22; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1034-OR/167745/1034-OR-Efficacy-and-Safety-of-Dual-GLP-1-GIP"
13,4,1034-OR,HDM1005,"HDM1005 4.0 mg once weekly
  (subcutaneous)",,-13.32,,,22,Phase 2,NCT06886126,abstract,"Body weight
  reduction from baseline at W22; treatment-policy estimand; vs placebo, all p<0.0001. >=10% weight
  loss achieved in 70.8%.; Percentage change in body
  weight from baseline to week 22; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1034-OR/167745/1034-OR-Efficacy-and-Safety-of-Dual-GLP-1-GIP"
13,5,1034-OR,HDM1005,"Placebo once weekly
  (subcutaneous)",,-2.45,,,22,Phase 2,NCT06886126,abstract,"Body weight reduction
   from baseline at W22. >=10% weight loss achieved in
  6.1%.; Percentage change in body
  weight from baseline to week 22; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1034-OR/167745/1034-OR-Efficacy-and-Safety-of-Dual-GLP-1-GIP"
14,1,1666-P,,"Prediabetes: OFG 6
  mg",246,1.19,0.17,2.1,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
  model-based estimate (SE); baseline mean (SD)=2.10 (1.27); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,2,1666-P,,"Prediabetes: OFG 12
  mg",253,1.29,0.19,2.29,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
  model-based estimate (SE); baseline mean (SD)=2.29 (2.03); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,3,1666-P,,"Prediabetes: OFG 36
  mg",252,1.23,0.19,2.29,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
  model-based estimate (SE); baseline mean (SD)=2.29 (1.82); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,4,1666-P,,"Prediabetes:
  Placebo",335,0.72,0.18,2.35,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT)
  CFB; model-based estimate (SE); baseline mean (SD)=2.35 (2.01); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,5,1666-P,,"Normoglycemia: OFG
   6 mg",435,0.57,0.15,3.76,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
   model-based estimate (SE); baseline mean (SD)=3.76 (4.26); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,6,1666-P,,"Normoglycemia: OFG 12
  mg",440,0.86,0.15,3.36,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
  model-based estimate (SE); baseline mean (SD)=3.36 (2.87); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,7,1666-P,,"Normoglycemia: OFG 36
  mg",445,1.22,0.18,3.51,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT) CFB;
  model-based estimate (SE); baseline mean (SD)=3.51 (5.55); ***; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
14,8,1666-P,,"Normoglycemia:
  Placebo",576,-0.31,0.12,3.28,72,,ATTAIN-1,figure,"Matsuda Index (during OGTT)
  CFB; model-based estimate (SE); baseline mean (SD)=3.28 (3.21);
  **; Matsuda Index (during OGTT), change
  from baseline at week 72; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1666-P/168229/1666-P-Orforglipron-and-Markers-of-Insulin"
15,1,1723-P,Semaglutide,"once-weekly semaglutide 2.4
  mg",588,27,,,,phase 3,SELECT,abstract,"Lower incidence of asthma-related
  AEs/SAEs vs placebo; hazard ratio 0.58 (95% CI 0.36, 0.93) for semaglutide vs placebo.; Incidence of
  asthma-related adverse/serious adverse events (AEs/SAEs), reported as event
  counts; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1723-P/167878/1723-P-Semaglutide-Reduces-Asthma-Related-Adverse"
15,2,1723-P,Semaglutide,placebo,602,46,,,,phase 3,SELECT,abstract,"Asthma-related AEs/SAEs count
   reported as n=46.; Incidence of
  asthma-related adverse/serious adverse events (AEs/SAEs), reported as event
  counts; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1723-P/167878/1723-P-Semaglutide-Reduces-Asthma-Related-Adverse"
16,1,1725-P,,"zovaglutide 80 mg once every 4 weeks
  (Q4W)",,93.5,,,24,Phase 2,ZT002,abstract,"Proportion achieving HbA1c
  <5.7% at week 24; reported as greater than placebo. Weight change from baseline at week 24: -10.8%
   (all p values <0.0001 vs placebo for zovaglutide groups).; Proportion of participants with
   HbA1c <5.7% at week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1725-P/168235/1725-P-Once-Monthly-Zovaglutide-ZT002-in-Adults"
16,2,1725-P,,"zovaglutide 160 mg once
  every 4 weeks (Q4W)",,96.4,,,24,Phase 2,ZT002,abstract,"Proportion
  achieving HbA1c <5.7% at week 24; reported as greater than placebo. Weight change from baseline at
   week 24: -12.8% (all p values <0.0001 vs placebo for zovaglutide groups).; Proportion of participants with
   HbA1c <5.7% at week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1725-P/168235/1725-P-Once-Monthly-Zovaglutide-ZT002-in-Adults"
16,3,1725-P,,"zovaglutide
   80 mg once every 2 weeks
  (Q2W)",,90.5,,,24,Phase 2,ZT002,abstract,"Proportion achieving HbA1c
  <5.7% at week 24; reported as greater than placebo. Weight change from baseline at week 24: -12.9%
   (all p values <0.0001 vs placebo for zovaglutide groups).; Proportion of participants with
   HbA1c <5.7% at week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1725-P/168235/1725-P-Once-Monthly-Zovaglutide-ZT002-in-Adults"
16,4,1725-P,,"zovaglutide 160 mg once
  every 2 weeks (Q2W)",,100,,,24,Phase 2,ZT002,abstract,"Proportion
  achieving HbA1c <5.7% at week 24; reported as greater than placebo. Weight change from baseline at
   week 24: -12.8% (all p values <0.0001 vs placebo for zovaglutide groups).; Proportion of participants with
   HbA1c <5.7% at week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1725-P/168235/1725-P-Once-Monthly-Zovaglutide-ZT002-in-Adults"
16,5,1725-P,,"matched
  placebo",,22.2,,,24,Phase 2,ZT002,abstract,"Proportion achieving HbA1c
  <5.7% at week 24. Weight change from baseline at week 24:
  -0.8%.; Proportion of participants with
   HbA1c <5.7% at week 24 (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1725-P/168235/1725-P-Once-Monthly-Zovaglutide-ZT002-in-Adults"
17,1,1733-P,Mazdutide,Placebo,47,,,90.4,48,,1733-P,figure,"eGFR panel
  baseline mean shown as 90.4 mL/min/1.73 m^2. Week-by-week point estimates are plotted but not
  numerically labeled.; Absolute change in eGFR from baseline
  (mL/min/1.73 m^2); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,2,1733-P,Mazdutide,"MAZ 3/6
  mg",32,,,90.4,48,,1733-P,figure,"eGFR panel baseline mean shown as
  90.4 mL/min/1.73 m^2. Model-based estimates ± SE; exact values not printed. Significant vs placebo
   at Week 12 in UACR panel () and Week 32 in UACR panel ().; Absolute change in eGFR from baseline
  (mL/min/1.73 m^2); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,3,1733-P,Mazdutide,"MAZ 10
  mg",47,,,91.7,48,,1733-P,figure,"eGFR panel baseline mean shown as
  91.7 mL/min/1.73 m^2. Model-based estimates ± SE; exact values not printed. Significant vs placebo
   at Week 24 () and Week 32 () in eGFR panel; Week 32 () in UACR panel.; Absolute change in eGFR from baseline
  (mL/min/1.73 m^2); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,4,1733-P,Mazdutide,"MAZ 16
  mg",51,,,90,48,,1733-P,figure,"eGFR panel baseline mean shown as 90.0
   mL/min/1.73 m^2. Model-based estimates ± SE; exact values not printed. Significant vs placebo at
  Week 24 () and Week 32 (**) in eGFR panel; Week 32 (*) in UACR
  panel.; Absolute change in eGFR from baseline
  (mL/min/1.73 m^2); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,5,1733-P,Mazdutide,"once-weekly subcutaneous MAZ 10
  mg",48,7.7,1.6,,32,Phase 2,NCT06124807,abstract,"Cystatin C-derived eGFR CFB [SE] in
  mL/min/1.73 m²: 7.7 [1.6]; p<0.001 vs placebo.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,6,1733-P,Mazdutide,"once-weekly subcutaneous MAZ 16
  mg",51,7.2,2.1,,32,Phase 2,NCT06124807,abstract,"Cystatin C-derived eGFR CFB [SE] in
  mL/min/1.73 m²: 7.2 [2.1]; p=0.006 vs placebo.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,7,1733-P,Mazdutide,"placebo
  (PBO)",48,-0.3,1.6,,32,Phase 2,NCT06124807,abstract,"Cystatin C-derived eGFR CFB [SE]
  in mL/min/1.73 m²: -0.3 [1.6] at W32.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,8,1733-P,Mazdutide,"once-weekly subcutaneous MAZ 3/6 mg (dose
  escalation at W32)",32,-39.8,10.8,,32,Phase 2,NCT06124807,abstract,"UACR percent CFB
  [SE]: -39.8% [10.8]; p=0.028 vs placebo.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,9,1733-P,Mazdutide,"once-weekly subcutaneous MAZ 10
  mg",48,-36.2,6.1,,32,Phase 2,NCT06124807,abstract,"UACR percent CFB [SE]: -36.2% [6.1];
   p=0.007 vs placebo.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,10,1733-P,Mazdutide,"once-weekly subcutaneous MAZ 16
  mg",51,-32.7,7.7,,32,Phase 2,NCT06124807,abstract,"UACR percent CFB [SE]: -32.7% [7.7];
   p=0.030 vs placebo.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
17,11,1733-P,Mazdutide,"placebo
  (PBO)",48,-4.2,11.1,,32,Phase 2,NCT06124807,abstract,"UACR percent CFB [SE]: -4.2%
  [11.1] at W32.; Change from
  baseline in kidney-function measures at W32: cystatin C-derived eGFR (mL/min/1.73 m²) and UACR
  (%).; https://diabetesjournals.org/diabetes/article/75/Supplement_1/1733-P/169005/1733-P-Effect-of-Mazdutide-on-Kidney-Function-in"
18,1,1782-P,,ATX (Day 56),15,,,,8,"Phase
  1b",1782-P,figure,"Relative
   change (%) values shown: adiponectin 42.7 (p=0.0037), liver fat -14.4 (p=0.0391), visceral
  adipose tissue -0.03 (p=0.9803), resting metabolic rate 7.04 (p=0.0066).; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
18,2,1782-P,,"Placebo (Day
  56)",8,,,,8,"Phase
  1b",1782-P,figure,"Relative change (%) values shown:
  adiponectin 3.3 (p=0.8588), liver fat -8.39 (p=0.3787), visceral adipose tissue 0.80 (p=0.6454),
  resting metabolic rate 5.69 (p=0.1099).; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
18,3,1782-P,,"ATX (Day
  102)",7,,,,15,"Phase
  1b",1782-P,figure,"Relative change (%) values shown:
  adiponectin 88.6 (p=0.0108), liver fat -32.4 (p=0.0125), visceral adipose tissue -4.7 (p=0.0429),
  resting metabolic rate not determined.; Relative change from baseline (%) in metabolic outcomes (adiponectin, liver
   fat, visceral adipose tissue, resting metabolic rate); https://diabetesjournals.org/diabetes/article/75/Supplement_1/1782-P/169109/1782-P-Phase-1b-Study-of-AMPK-Mitochondrial"
19,1,2608-P,,Placebo,,-2.38,,,16,,2608-P,figure,"Panel A
  (Percentage Weight Loss Change from Baseline), week-16 value label shown; error bars present but
  SE/SD not numerically reported.; Percent body weight change from baseline
   (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
19,2,2608-P,,"DA-302168S 5 mg once
  daily",,-5.59,,,16,,2608-P,figure,"Panel A week-16 value label
  shown; error bars present but SE/SD not numerically reported.; Percent body weight change from baseline
   (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
19,3,2608-P,,"DA-302168S 10 mg once
  daily",,-8.06,,,16,,2608-P,figure,"Panel A week-16 value label
  shown; error bars present but SE/SD not numerically reported.; Percent body weight change from baseline
   (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
19,4,2608-P,,"DA-302168S 20 mg once
  daily",,-9.27,,,16,,2608-P,figure,"Panel A week-16 value label
  shown; error bars present but SE/SD not numerically reported.; Percent body weight change from baseline
   (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
19,5,2608-P,,"DA-302168S 30 mg once
  daily",,-10.22,,,16,,2608-P,figure,"Panel A week-16 value label
  shown; error bars present but SE/SD not numerically
  reported.; Percent body weight change from baseline
   (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2608-P/168458/2608-P-Efficacy-and-Safety-of-DA-302168S-a-Novel"
20,1,2609-P,HDM1002,"HDM1002 100 mg
  BID",,-4.63,,,12,Phase 2,NCT06500299,abstract,"LS mean percentage change in
  body weight from baseline at week 12 was -4.63%; 46.8% achieved weight reduction
  >=5%.; Percentage
  change in body weight (%) from baseline at week 12; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2609-P/168457/2609-P-Efficacy-and-Safety-of-a-Novel-Oral-Small"
20,2,2609-P,HDM1002,"HDM1002 200 mg
  BID",,-6.08,,,12,Phase 2,NCT06500299,abstract,"LS mean percentage change in
  body weight from baseline at week 12 was -6.08%; 63.0% achieved weight reduction
  >=5%.; Percentage
  change in body weight (%) from baseline at week 12; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2609-P/168457/2609-P-Efficacy-and-Safety-of-a-Novel-Oral-Small"
20,3,2609-P,HDM1002,"HDM1002 400 mg
  QD",,-6.83,,,12,Phase 2,NCT06500299,abstract,"LS mean percentage change in body
   weight from baseline at week 12 was -6.83%; 56.5% achieved weight reduction
  >=5%.; Percentage
  change in body weight (%) from baseline at week 12; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2609-P/168457/2609-P-Efficacy-and-Safety-of-a-Novel-Oral-Small"
20,4,2609-P,HDM1002,placebo (PBO),,-2.88,,,12,Phase 2,NCT06500299,abstract,"LS
  mean percentage change in body weight from baseline at week 12 was -2.88%; 30.4% achieved weight
  reduction >=5%.; Percentage
  change in body weight (%) from baseline at week 12; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2609-P/168457/2609-P-Efficacy-and-Safety-of-a-Novel-Oral-Small"
21,1,2620-P,MDR-001,Placebo,62,-2.6,,,24,,2620-P,figure,"Panel A
  primary endpoint; body weight % change from baseline reported as LSM (SE). SE value not
  numerically shown.; Percentage change from baseline in body
  weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,2,2620-P,MDR-001,"MDR-001 90 mg
  BID",58,-8,,,24,,2620-P,figure,"Panel A primary endpoint; body
  weight % change from baseline reported as LSM (SE). SE value not numerically
  shown.; Percentage change from baseline in body
  weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,3,2620-P,MDR-001,"MDR-001 120 mg
  BID",53,-9.1,,,24,,2620-P,figure,"Panel A primary endpoint; body
  weight % change from baseline reported as LSM (SE). SE value not numerically
  shown.; Percentage change from baseline in body
  weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,4,2620-P,MDR-001,"MDR-001 150 mg
  BID",58,-9.3,,,24,,2620-P,figure,"Panel A primary endpoint; body
  weight % change from baseline reported as LSM (SE). SE value not numerically
  shown.; Percentage change from baseline in body
  weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,5,2620-P,MDR-001,"MDR-001 180 mg
  BID",54,-9.6,,,24,,2620-P,figure,"Panel A primary endpoint; body
  weight % change from baseline reported as LSM (SE). SE value not numerically
  shown.; Percentage change from baseline in body
  weight (%); https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,6,2620-P,MDR-001,"MDR-001 90 mg
  BID",,-8,,,24,Phase 2b,MDR-001,abstract,"Least-squares mean percentage
  change in body weight at W24; vs placebo all P <.0001.; Percentage change from
  baseline in body weight (%) at week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,7,2620-P,MDR-001,"MDR-001 120 mg
  BID",,-9.1,,,24,Phase 2b,MDR-001,abstract,"Least-squares mean percentage
  change in body weight at W24; vs placebo all P <.0001.; Percentage change from
  baseline in body weight (%) at week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,8,2620-P,MDR-001,"MDR-001 150 mg
  BID",,-9.6,,,24,Phase 2b,MDR-001,abstract,"Least-squares mean percentage
  change in body weight at W24; vs placebo all P <.0001.; Percentage change from
  baseline in body weight (%) at week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,9,2620-P,MDR-001,"MDR-001 180 mg
  BID",,-9.3,,,24,Phase 2b,MDR-001,abstract,"Least-squares mean percentage
  change in body weight at W24; vs placebo all P <.0001.; Percentage change from
  baseline in body weight (%) at week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
21,10,2620-P,MDR-001,"placebo
  (PBO)",,-2.6,,,24,Phase 2b,MDR-001,abstract,"Least-squares mean percentage
  change in body weight at W24; comparator for active-dose P
  values.; Percentage change from
  baseline in body weight (%) at week 24; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2620-P/168752/2620-P-MDR-001-an-AI-Enabled-arrestin2-Biased-Oral"
22,1,2636-P,,Placebo,,-3.61,,,,Phase 2b,ENLIGHT,figure,"Panel A
   body weight change (%). Panel B: -2.88 kg; Panel C: -4.35 cm; Panel D responders: >=5% 26.8,
  >=10% 9.8, >=15% 0.0.; Body weight change from
  baseline (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,2,2636-P,,"Efsubaglutide alfa 5 mg
  QW",,-7.95,,,,Phase 2b,ENLIGHT,figure,"Panel A body weight change (%).
   Panel B: -6.73 kg; Panel C: -6.88 cm; Panel D responders: >=5% 75.6, >=10% 31.7, >=15%
  4.9.; Body weight change from
  baseline (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,3,2636-P,,"Efsubaglutide alfa 10 mg
  QW",,-9.99,,,,Phase 2b,ENLIGHT,figure,"Panel A body weight change (%).
   Panel B: -8.59 kg; Panel C: -8.87 cm; Panel D responders: >=5% 78.0, >=10% 48.8, >=15%
  14.6.; Body weight change from
  baseline (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,4,2636-P,,"Efsubaglutide alfa 20 mg
  QW",,-10.58,,,,Phase 2b,ENLIGHT,figure,"Panel A body weight change
  (%). Panel B: -9.22 kg; Panel C: -8.94 cm; Panel D responders: >=5% 81.6, >=10% 34.2, >=15%
  13.2.; Body weight change from
  baseline (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
22,5,2636-P,,"Efsubaglutide alfa 20 mg
  Q2W",,-9.7,,,,Phase 2b,ENLIGHT,figure,"Panel A body weight change (%).
   Panel B: -8.48 kg; Panel C: -8.39 cm; Panel D responders: >=5% 73.7, >=10% 28.9, >=15%
  5.3.; Body weight change from
  baseline (%) at end of treatment; https://diabetesjournals.org/diabetes/article/75/Supplement_1/2636-P/167996/2636-P-Efsubaglutide-Alfa-in-Overweight-or-Obesity"
